"";"Sample_names";"D0";"D1";"D2";"sd.D0";"sd.D1";"sd.D2"
"CYCLUS1_BEKKEN_21_0h_SYBR_SHUTDOWN_rep1.fcs";"CYCLUS1_BEKKEN_21_0h_SYBR_SHUTDOWN_rep1.fcs";7027,39;1576,21803108184;863,691147841792;111,024057362048;11,3517488643225;5,60735359188805
"CYCLUS1_BEKKEN_21_0h_SYBR_SHUTDOWN_rep2.fcs";"CYCLUS1_BEKKEN_21_0h_SYBR_SHUTDOWN_rep2.fcs";6985,73;1520,12367055731;823,942318124739;165,043786966252;30,8564606555207;17,7382896485893
"CYCLUS1_BEKKEN_21_0h_SYBR_SHUTDOWN_rep3.fcs";"CYCLUS1_BEKKEN_21_0h_SYBR_SHUTDOWN_rep3.fcs";6703,43;1491,27009610809;818,02686882475;144,851177894326;26,7962231104498;14,6243210175244
"CYCLUS1_BEKKEN_21_10h_SYBR_SHUTDOWN_rep1.fcs";"CYCLUS1_BEKKEN_21_10h_SYBR_SHUTDOWN_rep1.fcs";7402,6;1699,70347827314;967,823671472764;107,890142405517;12,9689059814674;7,21639882029661
"CYCLUS1_BEKKEN_21_10h_SYBR_SHUTDOWN_rep2.fcs";"CYCLUS1_BEKKEN_21_10h_SYBR_SHUTDOWN_rep2.fcs";7823,43;1730,81128426806;983,000168582894;111,514301750715;12,2805892088442;6,25448512480392
"CYCLUS1_BEKKEN_21_10h_SYBR_SHUTDOWN_rep3.fcs";"CYCLUS1_BEKKEN_21_10h_SYBR_SHUTDOWN_rep3.fcs";7413,35;1692,75740796012;958,776079137313;113,806443427675;15,8998779720923;8,86969828680967
"CYCLUS1_BEKKEN_21_1h_SYBR_SHUTDOWN_rep1.fcs";"CYCLUS1_BEKKEN_21_1h_SYBR_SHUTDOWN_rep1.fcs";7747,39;1650,40273546907;889,801948542642;110,219972433458;13,449615468005;7,47723370561191
"CYCLUS1_BEKKEN_21_1h_SYBR_SHUTDOWN_rep2.fcs";"CYCLUS1_BEKKEN_21_1h_SYBR_SHUTDOWN_rep2.fcs";7569,08;1627,37246022238;890,983856791251;109,45509480046;14,790036231244;7,60931212896349
"CYCLUS1_BEKKEN_21_1h_SYBR_SHUTDOWN_rep3.fcs";"CYCLUS1_BEKKEN_21_1h_SYBR_SHUTDOWN_rep3.fcs";7076,58;1523,16732288087;833,365591000148;160,323862884166;26,7762614175405;14,0724653658311
"CYCLUS1_BEKKEN_21_2h_SYBR_SHUTDOWN_rep1.fcs";"CYCLUS1_BEKKEN_21_2h_SYBR_SHUTDOWN_rep1.fcs";6984,45;1509,53660522487;809,465967253181;197,831086760622;44,3801235824922;24,0613368555471
