"";"Sample_name";"D0";"D1";"sd.D1";"D2";"sd.D2";"counts";"volume";"dilution"
"121";"MBRH1-914_rep1.fcs";14368;3410,61162205648;39,4737788519268;2125,88365130646;33,7592439300214;28769;50,057;10
"122";"MBRH1-914_rep2.fcs";13982;3276,52331312822;39,1713511631066;2045,42700902797;33,3351760804927;28055;50,209;10
"123";"MBRH1-914_rep3.fcs";14182;3315,82519925538;38,5026209836578;2059,1720442445;33,6502079794171;28565;50,086;10
"124";"MBRH2-515_rep1.fcs";13398;3298,43938854196;37,2776928878645;2094,8475368786;32,5177897643967;36420;50,192;10
"125";"MBRH2-515_rep2.fcs";13784;3375,36022108643;38,6682969038027;2132,75528588205;32,6452868410571;37023;50,067;10
"126";"MBRH2-515_rep3.fcs";12853;3176,13042576356;36,9269544561282;2006,04480613574;32,8295741864104;37347;50,021;10
"127";"MBRH2-915_rep1.fcs";13561;3222,15450227184;36,5597968042226;1989,5036061244;30,5555785764221;6390;50,146;10
"128";"MBRH2-915_rep2.fcs";14310;3381,07446087251;36,0750127257358;2072,89115512274;31,339250983761;6529;50,115;10
"129";"MBRH2-915_rep3.fcs";11987;3163,66267476283;37,7471319915689;2084,68284809214;33,6908286401034;16400;50,115;10
"130";"MDPE1-714_rep1.fcs";14849;3083,90288132624;37,9480816469887;1887,78450528898;30,5601081866849;22763;50,054;10
"131";"MDPE1-714_rep2.fcs";15114;3146,27018963175;37,5738944829603;1920,93961338775;30,6605182357728;22907;50,055;10
"132";"MDPE1-714_rep3.fcs";15485;3170,29756251172;37,5389610646503;1941,84180221118;31,0296073289249;23574;50,044;10
"133";"MDPE1-715_rep1.fcs";14754;3249,75272175884;37,640407929427;1994,72768633724;33,5417845106383;8322;50,139;10
"134";"MDPE1-715_rep2.fcs";14651;3321,17161116418;39,9511822807074;2026,72580409937;32,0621971384598;8354;50,139;10
"135";"MDPE1-715_rep3.fcs";14242;3247,58466116658;37,3742361816319;2009,62951260836;31,9627892244893;8111;50,139;10
"136";"MDPE1-914_rep1.fcs";13803;3307,3891695798;36,5108915508547;2102,73651456898;33,6250506725994;27949;50,023;10
"137";"MDPE1-914_rep2.fcs";13557;3304,65386747689;38,1712312252572;2107,64405058751;33,0955086603127;28492;50,033;10
"138";"MDPE1-914_rep3.fcs";13549;3237,1800172375;36,8871344425283;2056,51321160852;33,5716756746384;28118;50,041;10
"139";"MDPE2-515_rep1.fcs";14792;3276,5140836366;37,9496956742927;1994,13843326848;32,0702558395886;43087;50,021;10
"140";"MDPE2-515_rep2.fcs";15561;3418,77151890399;39,5080826345213;2062,98573396541;32,7063216963943;41835;50,019;10
"141";"MDPE2-515_rep3.fcs";15398;3348,86895133987;36,4622459101152;2034,21494738415;32,5697834526449;42335;50,182;10
"142";"MDPE2-915_rep1.fcs";13860;3265,54670055335;35,5776610848382;2024,55214186352;32,8067159880834;16669;50,035;10
"143";"MDPE2-915_rep2.fcs";14273;3264,17587218723;37,4163156316575;2020,254858827;31,0214892985638;16798;50,015;10
"144";"MDPE2-915_rep3.fcs";13863;3272,91671104492;37,2154351816505;2021,8741236461;31,599889284063;15849;50,038;10
"145";"MDPH1-714_rep1.fcs";14055;3325,52846264122;38,0229981622522;2115,93869459903;34,5568023525192;19467;50,215;10
"146";"MDPH1-714_rep2.fcs";14169;3336,06323644995;36,9030263925554;2119,15656676096;32,9514244341365;19122;50,022;10
"147";"MDPH1-714_rep3.fcs";13860;3359,37598191653;36,8319210693991;2147,94604159054;33,0357324224256;19570;50,027;10
"148";"MDPH1-715_rep1.fcs";12997;3165,2229431311;36,1568523779818;1996,10941785315;33,0908191287635;5662;50,148;10
"149";"MDPH1-715_rep2.fcs";14041;3319,31725517355;38,7127268199529;2096,76459706454;32,6400990669735;5742;50,13;10
"150";"MDPH1-715_rep3.fcs";13532;3311,34118508284;37,527891944864;2105,03500107319;32,9422038899932;5760;50,112;10
"151";"MDPH1-914_rep1.fcs";15199;3418,34769741889;38,1750562652924;2141,71121721392;33,7429216119582;11700;50,134;10
"152";"MDPH1-914_rep2.fcs";15090;3403,96210862618;37,691007937694;2125,3224381553;35,3659630198021;11497;50,15;10
"153";"MDPH1-914_rep3.fcs";13541;3145,58477073956;36,7737987644292;1978,87606018619;31,1377717691365;11520;50,14;10
"154";"MDPH2-515_rep1.fcs";12864;3136,79687732858;37,6278206811781;1975,25625544103;32,4467826165029;56076;50,17;10
"155";"MDPH2-515_rep2.fcs";13404;3212,60535654338;37,9468258710167;2017,73966087537;33,2146457121588;57137;50,148;10
"156";"MDPH2-515_rep3.fcs";13915;3306,74651604759;38,221988990946;2072,84041699214;33,8086367448019;57373;50,153;10
"157";"MDPH2-915_rep1.fcs";13280;3236,00084973318;37,1189919189965;2084,38244067285;33,9055045332337;30708;50,026;10
"158";"MDPH2-915_rep2.fcs";13953;3274,25806166151;37,3380254503001;2100,74612502149;32,4350134550889;31045;50,116;10
"159";"MDPH2-915_rep3.fcs";13238;3191,49916664602;36,007179001288;2047,28617222727;32,1480599531545;30860;50,139;10
"160";"MI5S1-415-2_rep1.fcs";16033;3737,17218905937;42,041489604444;2180,29076806823;34,5167142842289;54339;50,18;2
"161";"MI5S1-415-2_rep2.fcs";16380;3862,02115317713;42,0829466447116;2239,99707624745;35,9712192186268;54621;50,17;2
"162";"MI5S1-415-2_rep3.fcs";16107;3825,50207451466;42,3592595937725;2223,86172793169;33,8600309742426;54253;50,117;2
"163";"MI5S2-1015-2_rep1.fcs";13687;3308,38014801244;39,301954895152;2072,78939005865;32,7148735073318;27118;50,012;2
"164";"MI5S2-1015-2_rep2.fcs";13649;3354,14783525328;37,348522481439;2101,10090270047;34,0501552373325;26001;50,034;2
"165";"MI5S2-1015-2_rep3.fcs";13320;3280,57136209176;37,857133512166;2046,08893892322;31,6186009449376;27964;50,123;2
"166";"MI5S2-115-2_rep1.fcs";13365;3271,74646749014;35,7167849553621;2067,77748683651;33,1202034682942;45112;50,17;10
"167";"MI5S2-115-2_rep2.fcs";13717;3365,92500302083;38,9076547030212;2127,60271705268;33,4564859006535;47633;50,121;10
"168";"MI5S2-115-2_rep3.fcs";13871;3341,61426019064;38,4956698600322;2108,43048859607;33,2458201203756;50653;50,143;10
"169";"MI5S2-515-DMSO_rep1.fcs";14184;3377,31780877748;38,2232742429386;2050,45418865796;31,1869588145075;6465;50,116;2
"170";"MI5S2-515-DMSO_rep2.fcs";14114;3350,00216937213;39,2308611835485;2040,59967498769;30,9849895467459;6243;50,169;2
