;Samples;counts;HNA;LNA;volume;dilution
284;MM110-S-N_April_rep2.fcs;8727;1970;6757;50,175;10
285;MM110-S-N_April_rep3.fcs;8549;2000;6549;50,107;10
286;MM110-S-N_July_rep1.fcs;8713;1287;7426;50,129;10
287;MM110-S-N_July_rep2.fcs;8412;1195;7217;50,002;10
288;MM110-S-N_July_rep3.fcs;8415;1290;7125;50,124;10
289;MM110-S-N_September_rep1.fcs;12270;3429;8841;50,123;10
290;MM110-S-N_September_rep2.fcs;12149;3413;8736;50,146;10
291;MM110-S-N_September_rep3.fcs;12216;3316;8900;50,147;10
292;MM15-D-D_April_rep1.fcs;15171;6577;8594;50,08;10
293;MM15-D-D_April_rep2.fcs;15263;6804;8459;50,053;10
294;MM15-D-D_April_rep3.fcs;14970;6609;8361;50,216;10
295;MM15-D-N_July_rep1.fcs;12358;3069;9289;50,123;10
296;MM15-D-N_July_rep2.fcs;12481;3071;9410;50,182;10
297;MM15-D-N_July_rep3.fcs;12668;3154;9514;50,209;10
298;MM15-D-N_September_rep1.fcs;10420;3432;6988;50,123;10
299;MM15-D-N_September_rep2.fcs;10121;3383;6738;50,136;10
300;MM15-D-N_September_rep3.fcs;10218;3356;6862;50,145;10
301;MM15-S-D_April_rep1.fcs;13810;5582;8228;50,147;10
302;MM15-S-D_April_rep2.fcs;13346;5221;8125;50,225;10
303;MM15-S-D_April_rep3.fcs;13646;5321;8325;50,013;10
304;MM15-S-D_July_rep1.fcs;14090;2870;11220;50,162;10
305;MM15-S-D_July_rep2.fcs;14012;2797;11215;50,109;10
306;MM15-S-D_July_rep3.fcs;13739;2838;10901;50,132;10
307;MM15-S-D_September_rep1.fcs;11264;3145;8119;50,123;10
308;MM15-S-D_September_rep2.fcs;11633;3290;8343;50,144;10
309;MM15-S-D_September_rep3.fcs;11385;3081;8304;50,155;10
310;MM15-S-N_April_rep1.fcs;13972;5862;8110;50,211;10
311;MM15-S-N_April_rep2.fcs;13700;5848;7852;50,092;10
312;MM15-S-N_April_rep3.fcs;13771;5861;7910;50,008;10
313;MM15-S-N_July_rep1.fcs;15064;3229;11835;50,121;10
314;MM15-S-N_July_rep2.fcs;14783;3210;11573;50,107;10
315;MM15-S-N_July_rep3.fcs;14714;3076;11638;50,155;10
316;MM15-S-N_September_rep1.fcs;11618;3410;8208;50,125;10
317;MM15-S-N_September_rep2.fcs;11628;3483;8145;50,131;10
318;MM15-S-N_September_rep3.fcs;11782;3438;8344;50,139;10
319;MOTE1-714_rep1.fcs;53819;16835;36984;50,146;10
320;MOTE1-714_rep2.fcs;52977;16509;36468;50,082;10
321;MOTE1-714_rep3.fcs;53748;16808;36940;50,088;10
322;MOTE1-715_rep1.fcs;36576;8368;28208;50,031;10
323;MOTE1-715_rep2.fcs;37906;8459;29447;50,082;10
324;MOTE1-715_rep3.fcs;37345;8591;28754;50,056;10
325;MOTE1-914_rep1.fcs;33691;9335;24356;50,113;10
326;MOTE1-914_rep2.fcs;36212;10389;25823;50,095;10
327;MOTE1-914_rep3.fcs;35571;10039;25532;50,027;10
328;MOTE2-515_rep1.fcs;30301;11073;19228;50,035;10
329;MOTE2-515_rep2.fcs;30864;11472;19392;50,136;10
330;MOTE2-515_rep3.fcs;30667;11287;19380;50,068;10
331;MOTE2-915_rep1.fcs;28293;6941;21352;50,064;10
332;MOTE2-915_rep2.fcs;28625;6972;21653;50,047;10
333;MOTE2-915_rep3.fcs;28565;7132;21433;50,011;10
334;MOTH1-714_rep1.fcs;25259;6463;18796;50,06;10
335;MOTH1-714_rep2.fcs;24083;6071;18012;50,124;10
336;MOTH1-714_rep3.fcs;25178;6334;18844;50,024;10
337;MOTH1-715_rep1.fcs;19570;3905;15665;50,138;10
338;MOTH1-715_rep2.fcs;19194;3806;15388;50,008;10
339;MOTH1-715_rep3.fcs;19739;3963;15776;50,167;10
340;MOTH1-914_rep1.fcs;35490;10018;25472;50,086;10
341;MOTH1-914_rep2.fcs;35364;9956;25408;50,1;10
342;MOTH1-914_rep3.fcs;35067;9762;25305;50,039;10
343;MOTH2-515_rep1.fcs;21300;7142;14158;50,082;10
344;MOTH2-515_rep2.fcs;20526;6880;13646;50,057;10
345;MOTH2-515_rep3.fcs;20779;7111;13668;50,131;10
346;MOTH-915_rep1.fcs;29267;7282;21985;50,128;10
347;MOTH-915_rep2.fcs;28463;6920;21543;50,042;10
348;MOTH-915_rep3.fcs;28504;7183;21321;50,068;10
349;MRBH1-715_rep1.fcs;11599;3000;8599;50,177;10
350;MRBH1-715_rep2.fcs;11377;2980;8397;50,178;10
351;MRBH1-715_rep3.fcs;11782;3125;8657;50,143;10
352;MUSDEPE1-epi-deep-514_rep1.fcs;22188;11536;10652;50,111;10
353;MUSDEPE1-epi-deep-514_rep2.fcs;22627;12641;9986;50,092;10
354;MUSDEPE1-epi-deep-514_rep3.fcs;21514;11852;9662;50,11;10
355;MUSDEPH-hypo-deep-514_rep1.fcs;15545;7025;8520;50,035;10
356;MUSDEPH-hypo-deep-514_rep2.fcs;15799;7166;8633;50,022;10
357;MUSDEPH-hypo-deep-514_rep3.fcs;15369;6914;8455;50,005;10
358;MUSINLE1-epi-inlet-514_rep1.fcs;27913;16276;11637;50,032;10
359;MUSINLE1-epi-inlet-514_rep2.fcs;26707;15374;11333;50,074;10
360;MUSINLE1-epi-inlet-514_rep3.fcs;27482;15597;11885;50,123;10
361;MUSINLH1-hypo-inlet-514_rep1.fcs;27261;16186;11075;50,019;10
362;MUSINLH1-hypo-inlet-514_rep2.fcs;26745;15976;10769;50,191;10
363;MUSINLH1-hypo-inlet-514_rep3.fcs;27406;16066;11340;50,1;10
364;Muskegon_April_rep1.fcs;18561;9490;9071;50,009;10
365;Muskegon_April_rep2.fcs;18216;9334;8882;50,079;10
366;Muskegon_April_rep3.fcs;18440;9451;8989;50,103;10
367;MUSOUTE1-epi-outlet-514_rep1.fcs;22585;11861;10724;50,146;10
368;MUSOUTE1-epi-outlet-514_rep2.fcs;23372;12372;11000;50,077;10
369;MUSOUTE1-epi-outlet-514_rep3.fcs;22894;11785;11109;50,044;10
370;MUSOUTH-hypo-outlet-514_rep1.fcs;12485;5416;7069;50,156;10
371;MUSOUTH-hypo-outlet-514_rep2.fcs;12414;5414;7000;50,173;10
372;MUSOUTH-hypo-outlet-514_rep3.fcs;12656;5579;7077;50,178;10
