"";"Sample_names";"D0";"D1";"D2";"sd.D0";"sd.D1";"sd.D2";"counts";"volume";"dilution"
"137";"MDPE1-914_rep2.fcs";14284,71;3173,26396412678;1984,23136824441;406,821686673012;75,6133991320924;45,1681699899038;37392;50,072;10
"138";"MDPE1-914_rep3.fcs";15040,29;3423,14496200885;2147,23437874654;177,370028955619;23,1198191518473;14,5082843156775;37171;50,059;10
"139";"MDPE2-515_rep1.fcs";13895,13;3138,88228072903;2006,55337790921;323,688110733624;59,9590860543468;36,1116156700612;31108;50,053;10
"140";"MDPE2-515_rep2.fcs";14438,38;3187,58284728626;2039,48886262189;229,211859125213;33,2304807026949;20,1388957030633;30223;50,214;10
"141";"MDPE2-515_rep3.fcs";15219,16;3314,09887850353;2106,70726452933;232,713927647685;19,4246873130641;10,9858912765301;30379;50,188;10
"142";"MDPE2-915_rep1.fcs";14597,35;3153,05360368178;1922,54966689454;213,031385509556;27,062146963253;14,9640160025376;27292;50,033;10
"143";"MDPE2-915_rep2.fcs";14721,97;3236,00549164992;1987,87774079303;227,459729147466;31,6991470068859;18,6090839388923;27717;50,012;10
"144";"MDPE2-915_rep3.fcs";15120,99;3284,23617577227;2009,68394887941;211,866667381811;24,5154991952611;15,1490193305923;27885;50,047;10
"145";"MDPH1-714_rep1.fcs";17013,75;3852,84116162646;2286,76339898719;174,230566790217;40,7335659711525;23,1540202671692;14033;50,127;10
"146";"MDPH1-714_rep2.fcs";16157,39;3691,62505765427;2192,83110962489;351,047146248034;73,7865993355841;42,4169181562207;13878;50,214;10
"147";"MDPH1-714_rep3.fcs";16649,19;3784,43041917464;2241,01367039692;228,581514978572;40,5704572331622;23,5121522057017;14105;50,098;10
"148";"MDPH1-715_rep1.fcs";15733,47;3494,81443950851;2084,94839954614;423,650071319825;77,768346768727;44,2786439901115;13859;50,108;10
"149";"MDPH1-715_rep2.fcs";15567,94;3488,67245159229;2097,63195808312;264,217610803265;50,8210883465169;29,3850755932693;12953;50,153;10
"150";"MDPH1-715_rep3.fcs";15706,13;3504,27134391473;2099,81077835598;270,541120868544;53,3687703403154;30,7720774932965;13870;50,193;10
"151";"MDPH1-914_rep1.fcs";18253,78;4315,60781338412;2550,80907352126;212,380142312046;45,0909494411146;25,9169754548065;16626;50,048;10
"152";"MDPH1-914_rep2.fcs";17756,63;4181,58185042605;2473,31254458154;792,191470771831;172,920379461165;93,7373915477774;16814;50,134;10
"153";"MDPH1-914_rep3.fcs";18303,66;4303,16267371067;2529,63681657026;197,621422590433;44,4511097877278;27,3591282287936;16894;50,156;10
"154";"MDPH2-515_rep1.fcs";15096,32;3571,94198158088;2217,25990567081;259,936079166639;53,3430709178833;33,5671595158292;15334;50,017;10
"155";"MDPH2-515_rep2.fcs";15485,51;3716,59885913251;2312,33963983304;201,100381738458;28,6617452799123;17,5128833879363;15407;50,223;10
"156";"MDPH2-515_rep3.fcs";14934,43;3560,04746991056;2236,70237098246;362,166328633626;77,2710628198156;45,1172318529112;15485;50,324;10
"157";"MDPH2-915_rep1.fcs";17162,75;3882,79521175593;2356,4659857886;747,55682024509;153,608134049078;84,7453767727764;20713;50,055;10
"158";"MDPH2-915_rep2.fcs";16968,59;3837,72978366616;2328,02874833171;581,772146292705;115,54749006936;63,5158541485775;20885;50,098;10
"159";"MDPH2-915_rep3.fcs";17871,57;4090,51553608421;2489,82487042529;216,018903727606;35,2405254825848;20,7532133011142;20713;50,107;10
"160";"MI5S1-415-2_rep1.fcs";12831,59;3214,52581834964;2089,2677094279;149,634510617293;16,9616020516535;11,5513228653664;28635;50,079;2
"161";"MI5S1-415-2_rep2.fcs";13115,21;3202,45757874329;2070,78127017141;185,441340612283;36,9318368718716;22,6409962935793;29924;50,203;2
"162";"MI5S1-415-2_rep3.fcs";13009,79;3206,00703492587;2080,75546738394;169,12599421494;20,7303635830722;13,3526394141156;29755;50,035;2
"163";"MI5S2-1015-2_rep1.fcs";13422,38;3290,95982375738;2103,54518253676;226,420623146079;47,8010799887068;27,886330128047;104213;50,009;2
"164";"MI5S2-1015-2_rep2.fcs";13452,87;3275,81270419144;2089,55767914538;386,036546524452;81,3722272398612;49,6081514355864;106098;50,193;2
"165";"MI5S2-1015-2_rep3.fcs";13704,05;3380,36559187151;2162,16712561856;114,528314614705;20,5459137962125;12,8318354508068;100989;50,01;2
"166";"MI5S2-115-2_rep1.fcs";13848,36;3467,74808026145;2217,38548784253;225,067779689909;29,9943410265584;17,463841843991;11244;50,144;10
"167";"MI5S2-115-2_rep2.fcs";13965,37;3419,6544959388;2162,72383748122;201,612372105133;28,6573366114024;19,1292301784325;11407;50,134;10
"168";"MI5S2-115-2_rep3.fcs";13136,76;3355,18192001088;2137,41643453896;199,547372669735;27,8775830081413;18,3775437195945;11677;50,153;10
"169";"MI5S2-515-DMSO_rep1.fcs";13762,27;2919,20727387587;1811,76696211277;153,760331343782;29,6363095692168;17,5015912445116;162849;50,021;2
"170";"MI5S2-515-DMSO_rep2.fcs";13770,77;2929,73678890798;1815,73226747178;120,384976327001;16,1076584797308;9,35898035846013;158808;50,019;2
"171";"MI5S2-515-DMSO_rep3.fcs";13881,93;2943,61754217718;1821,57226592108;96,8126645651385;16,6710565122418;10,2326201771224;160702;50,071;2
"172";"MI5S2-715-2_rep1.fcs";13135,56;3236,89856437831;2085,24567920114;182,830678415021;28,5963404770038;19,0036623726749;41265;50,107;2
"173";"MI5S2-715-2_rep2.fcs";13470,37;3271,88201227393;2107,38459246444;164,781805838368;22,166512555558;14,8873267458156;38488;50,025;2
"174";"MI5S2-715-2_rep3.fcs";13597,59;3353,15961742802;2166,27203617785;140,059373773476;15,9014262409926;9,90134298603305;40756;50,055;2
"175";"MI5S2-815_rep1.fcs";13752,03;3313,00194342029;2123,19396302001;260,910970341311;52,562085912854;32,0300772254535;64594;50,139;2
"176";"MI5S2-815_rep2.fcs";13997,57;3387,21213194488;2167,5430648249;138,111743296374;22,3344277099381;15,0499972849135;63590;50,097;2
"177";"MI5S2-815_rep3.fcs";13974,58;3417,5618300519;2187,61356370141;122,788491876779;12,3496007855886;7,99062913249964;65587;50,133;2
"178";"MI5S2-915-2_rep1.fcs";13192,86;3299,77891686329;2065,36399957032;491,799725600788;115,706415091183;70,1977307708566;8042;50,132;10
"179";"MI5S2-915-2_rep2.fcs";12429,84;3147,93501365449;1968,14699650269;395,105400079165;101,759217524673;62,2485474625684;7480;50,143;10
"180";"MI5S2-915-2_rep3.fcs";13354,17;3342,61849876562;2091,4601342622;208,423716394166;36,0707912449972;22,8210566225358;7731;50,14;10
"181";"MINE1-714_rep1.fcs";14898,53;3305,40215283147;2066,66829698098;346,425191393933;60,8383208634411;35,609083605463;52467;50,006;10
"182";"MINE1-714_rep2.fcs";15123,64;3381,02836354548;2115,33463926471;185,290954387357;35,8072424018627;23,2545614825274;51977;50,115;10
"183";"MINE1-714_rep3.fcs";14922,63;3306,24422537418;2062,46303671723;242,17493697947;45,3289413959781;27,220589738861;52031;50,053;10
"184";"MINE1-715_rep1.fcs";15299,49;3150,13361690637;1964,94174534996;185,942616053035;26,773547063453;15,7610846862992;43119;50,208;10
"185";"MINE1-715_rep2.fcs";15547,89;3225,40175998669;2021,0431322499;399,213415874444;71,0871305935396;40,9135271309318;43260;50,023;10
"186";"MINE1-715_rep3.fcs";15318,84;3170,1236284033;1980,20498439528;177,519594593517;23,3007454806209;13,2704319707313;42831;50,079;10
"187";"MINE1-914_rep1.fcs";15226,04;3405,96834187003;2148,37830823309;296,382360194299;51,3790649336119;31,7693383640598;46965;50,012;10
"188";"MINE1-914_rep2.fcs";15716,14;3475,63963284552;2186,01106073446;183,943558537049;23,9599109244148;13,0464136878105;48002;50,032;10
